Vansbro          ;6 776;-25;50;103;-53;291;116;133;42;269;103;157;9;22;13;-24;33;6
Älvdalen         ;7 042;9;57;90;-33;326;92;179;55;288;120;152;16;38;-28;27;39;4
Gävleborg        ;287 767;265;2 741;3 266;-525;8 600;.;7 259;1 341;8 022;.;7 411;611;578;.;-152;730;212
Bollnäs          ;26 753;-56;254;326;-72;1 009;354;557;98;1 010;389;595;26;-1;-35;-38;72;17
Gävle            ;103 136;232;1 081;998;83;4 605;1 132;2 870;603;4 541;1 079;3 152;310;64;53;-282;293;85
Hofors           ;9 578;8;84;153;-69;486;225;234;27;410;206;177;27;76;19;57;0;1
Hudiksvall       ;37 744;213;332;431;-99;1 525;423;936;166;1 236;379;822;35;289;44;114;131;23
Ljusdal          ;18 804;-63;157;243;-86;764;226;466;72;743;268;442;33;21;-42;24;39;2
Nordanstig       ;9 480;-3;71;125;-54;562;199;315;48;522;221;281;20;40;-22;34;28;11
Ockelbo          ;5 865;-19;54;62;-8;311;152;137;22;333;189;139;5;-22;-37;-2;17;11
