Borgestad;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3807 Skien
Borgheim;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3811 Færder
Borkenes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5411 Kvæfjord
Borre;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3801 Horten
Botngård;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5057 Ørland
Botten;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3813 Bamble
Brandal;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1517 Hareid
Brandbu;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3446 Gran
Brandval;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3401 Kongsvinger
Braskereidfoss;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3419 Våler
Brattekleiv;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4203 Arendal
Bratten;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3813 Bamble
Brattholmen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4626 Øygarden
Brattvåg;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1507 Ålesund
Breide;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5041 Snåase - Snåsa
Breistein;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4601 Bergen
Breivik;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4627 Askøy
Breivika;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5402 Harstad - Hárstak
Breiviken;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4601 Bergen
Brekka;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3805 Larvik
Brekke;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1841 Fauske - Fuossko
Brekke;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;0301 Oslo
Brekkebygd;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5025 Røros
Brekken;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5025 Røros
